Log Start (Execution 2)
[0.001s] Log system started successfully.
[2.917s] Wizard of Oz command: spawn_inimigo
[7.468s] Wizard of Oz command: apagar_luzes
[7.953s] Wizard of Oz command: apagar_luzes
[8.426s] Wizard of Oz command: apagar_luzes
[8.656s] Wizard of Oz command: apagar_luzes
[8.887s] Wizard of Oz command: apagar_luzes
[9.074s] Wizard of Oz command: apagar_luzes
[9.450s] Wizard of Oz command: apagar_luzes
[9.668s] Wizard of Oz command: apagar_luzes
[14.141s] Wizard of Oz command: dialogo_dica
[14.765s] Wizard of Oz command: spawn_inimigo
[16.250s] Wizard of Oz command: spawn_inimigo
